DATA	k	p	q	error_length	FP	FN	TP	TN	FPR	Recall
NT3	k5_L30	0.1	0.5	32	57	981	2187	116358	0.0254010683868	0.6903408873
NT3	k5_L30	0.25	0.1	4	47	70	326	119140	0.126005328149	0.823232115345
NT3	k5_L30	0.25	0.1	8	58	42	750	118733	0.0717821693339	0.946969577403
NT3	k5_L30	0.25	0.1	32	57	1047	2121	116358	0.0261707976965	0.669507554624
NT3	k5_L30	0.25	0.25	4	47	70	326	119140	0.126005328149	0.823232115345
NT3	k5_L30	0.25	0.25	8	58	42	750	118733	0.0717821693339	0.946969577403
NT3	k5_L30	0.25	0.25	32	57	981	2187	116358	0.0254010683868	0.6903408873
NT3	k5_L30	0.25	0.5	4	47	70	326	119140	0.126005328149	0.823232115345
NT3	k5_L30	0.25	0.5	8	58	42	750	118733	0.0717821693339	0.946969577403
NT3	k5_L30	0.25	0.5	32	57	981	2187	116358	0.0254010683868	0.6903408873
NT3	k5_L30	0.5	0.1	4	47	70	326	119140	0.126005328149	0.823232115345
NT3	k5_L30	0.5	0.1	8	58	42	750	118733	0.0717821693339	0.946969577403
NT3	k5_L30	0.5	0.1	32	57	1047	2121	116358	0.0261707976965	0.669507554624
NT3	k5_L30	0.5	0.25	4	47	70	326	119140	0.126005328149	0.823232115345
NT3	k5_L30	0.5	0.25	8	58	42	750	118733	0.0717821693339	0.946969577403
NT3	k5_L30	0.5	0.25	32	57	981	2187	116358	0.0254010683868	0.6903408873
NT3	k5_L30	0.5	0.5	4	47	70	326	119140	0.126005328149	0.823232115345
NT3	k5_L30	0.5	0.5	8	58	42	750	118733	0.0717821693339	0.946969577403
NT3	k5_L30	0.5	0.5	32	57	981	2187	116358	0.0254010683868	0.6903408873
NT3	k9_L54	0.1	0.1	4	47	70	326	119140	0.126005328149	0.823232115345
NT3	k9_L54	0.1	0.1	8	58	42	750	118733	0.0717821693339	0.946969577403
NT3	k9_L54	0.1	0.1	32	57	1047	2121	116358	0.0261707976965	0.669507554624
NT3	k9_L54	0.1	0.25	4	47	70	326	119140	0.126005328149	0.823232115345
NT3	k9_L54	0.1	0.25	8	58	42	750	118733	0.0717821693339	0.946969577403
NT3	k9_L54	0.1	0.25	32	57	1047	2121	116358	0.0261707976965	0.669507554624
NT3	k9_L54	0.1	0.5	4	47	70	326	119140	0.126005328149	0.823232115345
NT3	k9_L54	0.1	0.5	8	58	42	750	118733	0.0717821693339	0.946969577403
NT3	k9_L54	0.1	0.5	32	57	1047	2121	116358	0.0261707976965	0.669507554624
NT3	k9_L54	0.25	0.1	4	47	70	326	119140	0.126005328149	0.823232115345
NT3	k9_L54	0.25	0.1	8	58	42	750	118733	0.0717821693339	0.946969577403
NT3	k9_L54	0.25	0.1	32	57	1047	2121	116358	0.0261707976965	0.669507554624
NT3	k9_L54	0.25	0.25	4	47	70	326	119140	0.126005328149	0.823232115345
NT3	k9_L54	0.25	0.25	8	58	42	750	118733	0.0717821693339	0.946969577403
NT3	k9_L54	0.25	0.25	32	57	1047	2121	116358	0.0261707976965	0.669507554624
NT3	k9_L54	0.25	0.5	4	47	70	326	119140	0.126005328149	0.823232115345
NT3	k9_L54	0.25	0.5	8	58	42	750	118733	0.0717821693339	0.946969577403
NT3	k9_L54	0.25	0.5	32	57	1047	2121	116358	0.0261707976965	0.669507554624
NT3	k9_L54	0.5	0.1	4	47	70	326	119140	0.126005328149	0.823232115345
NT3	k9_L54	0.5	0.1	8	58	42	750	118733	0.0717821693339	0.946969577403
NT3	k9_L54	0.5	0.1	32	57	1047	2121	116358	0.0261707976965	0.669507554624
NT3	k9_L54	0.5	0.25	4	47	70	326	119140	0.126005328149	0.823232115345
NT3	k9_L54	0.5	0.25	8	58	42	750	118733	0.0717821693339	0.946969577403
NT3	k9_L54	0.5	0.25	32	57	1047	2121	116358	0.0261707976965	0.669507554624
